Country,Year,GreenhouseGas
Australia,1959,83.708
Australia,1960,88.119
Australia,1961,90.504
Australia,1962,94.823
Australia,1963,100.934
Australia,1964,108.876
Australia,1965,120.853
Australia,1966,120.219
Australia,1967,129.144
Australia,1968,134.497
Australia,1969,142.124
Australia,1970,147.48
Australia,1971,152.63
Australia,1972,157.337
Australia,1973,170.829
Australia,1974,172.192
Australia,1975,175.717
Australia,1976,174.078
Australia,1977,187.609
Australia,1978,201.825
Australia,1979,204.875
Australia,1980,220.537
Australia,1981,230.14
Australia,1982,233.897
Australia,1983,224.792
Australia,1984,236.37
Australia,1985,240.998
Australia,1986,239.733
Australia,1987,255.862
Australia,1988,260.892
Australia,1989,277.501
Australia,1990,279.365
Australia,1991,281.872
Australia,1992,286.332
Australia,1993,291.325
Australia,1994,300.084
Australia,1995,308.023
Australia,1996,316.332
Australia,1997,327.11
Australia,1998,338.697
Australia,1999,346.599
Australia,2000,351.82
Australia,2001,360.455
Australia,2002,367.113
Australia,2003,373.233
Australia,2004,386.766
Australia,2005,387.602
Australia,2006,397.295
Australia,2007,401.926
Australia,2008,409.653
Australia,2009,401.321
Australia,2010,404.533
Australia,2011,405.344
Australia,2012,402.666
Australia,2013,393.171
Australia,2014,399.254
Australia,2015,403.279
Australia,2016,415.945
Australia,2017,414.751
Australia,2018,416.001
Australia,2019,414.517
Australia,2020,391.892
Austria,1959,27.91
Austria,1960,30.784
Austria,1961,31.824
Austria,1962,33.865
Austria,1963,36.949
Austria,1964,38.896
Austria,1965,38.141
Austria,1966,39.209
Austria,1967,39.916
Austria,1968,42.297
Austria,1969,44.638
Austria,1970,50.632
Austria,1971,52.069
Austria,1972,56.071
Austria,1973,60.016
Austria,1974,57.294
Austria,1975,54.214
Austria,1976,58.204
Austria,1977,55.994
Austria,1978,57.226
Austria,1979,61.321
Austria,1980,52.025
Austria,1981,55.833
Austria,1982,53.565
Austria,1983,51.668
Austria,1984,54.214
Austria,1985,54.366
Austria,1986,53.729
Austria,1987,57.374
Austria,1988,52.937
Austria,1989,53.696
Austria,1990,62.14
Austria,1991,65.738
Austria,1992,60.236
Austria,1993,60.661
Austria,1994,61.034
Austria,1995,64.011
Austria,1996,67.355
Austria,1997,67.252
Austria,1998,66.887
Austria,1999,65.64
